Name,Birth Country,Birth Decade,Birth Year,Gender,Latitude,Longitude,Tate URL
"Agar, Eileen",Argentina,1/1/1890,1/1/1899,Female,-37.1503,-58.483,http://www.tate.org.uk/art/artists/eileen-agar-633
"Mackennal, Sir Bertram",Australia,1/1/1860,1/1/1863,Male,-37.8141,144.963,http://www.tate.org.uk/art/artists/sir-bertram-mackennal-1543
"Hornel, Edward Atkinson",Australia,1/1/1860,1/1/1864,Male,-37.676,144.439,http://www.tate.org.uk/art/artists/edward-atkinson-hornel-1309
"Gilbert, Charles Web",Australia,1/1/1860,1/1/1867,Male,-37.4713,144.785,http://www.tate.org.uk/art/artists/charles-web-gilbert-1164
"Coates, George",Australia,1/1/1860,1/1/1869,Male,-37.8141,144.963,http://www.tate.org.uk/art/artists/george-coates-922
"Lamb, Henry",Australia,1/1/1880,1/1/1883,Male,-34.9286,138.6,http://www.tate.org.uk/art/artists/henry-lamb-1456
"Lees, Derwent",Australia,1/1/1880,1/1/1885,Male,-37.8141,144.963,http://www.tate.org.uk/art/artists/derwent-lees-1487
"Brodzky, Horace",Australia,1/1/1880,1/1/1885,Male,-37.8068,145.031,http://www.tate.org.uk/art/artists/horace-brodzky-814
"De Maistre, Roy",Australia,1/1/1890,1/1/1894,Male,-34.4792,150.418,http://www.tate.org.uk/art/artists/roy-de-maistre-1556
"Boehm, Sir Joseph Edgar",Austria,1/1/1830,1/1/1834,Male,48.2082,16.3738,http://www.tate.org.uk/art/artists/sir-joseph-edgar-boehm-40
"Stokes, Marianne",Austria,1/1/1850,1/1/1855,Female,47.0707,15.4395,http://www.tate.org.uk/art/artists/marianne-stokes-528
"Fuchs, Emil",Austria,1/1/1860,1/1/1866,Male,48.2082,16.3738,http://www.tate.org.uk/art/artists/emil-fuchs-1130
"Hausmann, Raoul",Austria,1/1/1880,1/1/1886,Male,48.2082,16.3738,http://www.tate.org.uk/art/artists/raoul-hausmann-1254
"Kokoschka, Oskar",Austria,1/1/1880,1/1/1886,Male,48.2119,15.21,http://www.tate.org.uk/art/artists/oskar-kokoschka-1430
"Charoux, Siegfried",Austria,1/1/1890,1/1/1896,Male,48.2082,16.3738,http://www.tate.org.uk/art/artists/siegfried-charoux-894
"Ehrlich, Georg",Austria,1/1/1890,1/1/1897,Male,48.2082,16.3738,http://www.tate.org.uk/art/artists/georg-ehrlich-1051
"Chagall, Marc",Belarus,1/1/1880,1/1/1887,Male,55.1848,30.2016,http://www.tate.org.uk/art/artists/marc-chagall-881
"Gabo, Naum",Belarus,1/1/1890,1/1/1890,Male,53.6092,31.9595,http://www.tate.org.uk/art/artists/naum-gabo-1137
"Soutine, Chaïm",Belarus,1/1/1890,1/1/1893,Male,53.4719,27.697,http://www.tate.org.uk/art/artists/chaim-soutine-1971
"Gheeraerts, Marcus, II",Belgium,1/1/1560,1/1/1561,Male,51.2093,3.2247,http://www.tate.org.uk/art/artists/marcus-gheeraerts-ii-206
"Van Somer, Paul",Belgium,1/1/1570,1/1/1577,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/paul-van-somer-567
"Van Dyck, Sir Anthony",Belgium,1/1/1590,1/1/1599,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/sir-anthony-van-dyck-565
"Keirincx, Alexander",Belgium,1/1/1600,1/1/1600,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/alexander-keirincx-305
"Siberechts, Jan",Belgium,1/1/1620,1/1/1627,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/jan-siberechts-493
"Huysmans, Jacob",Belgium,1/1/1630,1/1/1630,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/jacob-huysmans-291
"Du Bois, Simon",Belgium,1/1/1630,1/1/1632,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/simon-du-bois-2679
"Tillemans, Peter",Belgium,1/1/1680,1/1/1684,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/peter-tillemans-552
"Reysschoot, Peter John van",Belgium,1/1/1700,1/1/1702,Male,51.0543,3.71742,http://www.tate.org.uk/art/artists/peter-john-van-reysschoot-2394
"Haghe, Louis",Belgium,1/1/1800,1/1/1806,Male,50.6056,3.38793,http://www.tate.org.uk/art/artists/louis-haghe-231
"Ensor, James",Belgium,1/1/1860,1/1/1860,Male,51.2154,2.92866,http://www.tate.org.uk/art/artists/james-ensor-1060
"Brangwyn, Sir Frank",Belgium,1/1/1860,1/1/1867,Male,51.2093,3.2247,http://www.tate.org.uk/art/artists/sir-frank-brangwyn-802
"Opsomer, Isidore",Belgium,1/1/1870,1/1/1878,Male,51.1302,4.57151,http://www.tate.org.uk/art/artists/isidore-opsomer-1723
"Vantongerloo, Georges",Belgium,1/1/1880,1/1/1886,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/georges-vantongerloo-2094
"Permeke, Constant",Belgium,1/1/1880,1/1/1886,Male,51.2194,4.40246,http://www.tate.org.uk/art/artists/constant-permeke-1759
"Delvaux, Paul",Belgium,1/1/1890,1/1/1897,Male,50.5039,4.46994,http://www.tate.org.uk/art/artists/paul-delvaux-994
"Magritte, René",Belgium,1/1/1890,1/1/1898,Male,50.7124,3.82887,http://www.tate.org.uk/art/artists/rene-magritte-1553
"Houghton, Arthur Boyd",Bharat,1/1/1830,1/1/1836,Male,11.4143,76.8663,http://www.tate.org.uk/art/artists/arthur-boyd-houghton-278
"Prinsep, Valentine Cameron",Bharat,1/1/1830,1/1/1838,Male,22.6103,88.4053,http://www.tate.org.uk/art/artists/valentine-cameron-prinsep-434
"Thornton, Alfred",Bharat,1/1/1860,1/1/1863,Male,28.5615,77.2725,http://www.tate.org.uk/art/artists/alfred-thornton-2038
"Hartrick, Archibald Standish",Bharat,1/1/1860,1/1/1864,Male,12.9033,77.521,http://www.tate.org.uk/art/artists/archibald-standish-hartrick-1250
"Fyzee-Rahamin, Samuel",Bharat,1/1/1880,1/1/1880,Male,18.5738,73.7746,http://www.tate.org.uk/art/artists/samuel-fyzee-rahamin-1136
